PERMNO,date,COMNAM,PRC
11850,19251231,STANDARD OIL CO N J,46.00000
11850,19260130,STANDARD OIL CO N J,45.25000
11850,19260227,STANDARD OIL CO N J,42.00000
11850,19260331,STANDARD OIL CO N J,42.50000
11850,19260430,STANDARD OIL CO N J,45.00000
11850,19260528,STANDARD OIL CO N J,44.87500
11850,19260630,STANDARD OIL CO N J,44.62500
11850,19260731,STANDARD OIL CO N J,44.37500
11850,19260831,STANDARD OIL CO N J,43.50000
11850,19260930,STANDARD OIL CO N J,42.37500
11850,19261030,STANDARD OIL CO N J,42.12500
11850,19261130,STANDARD OIL CO N J,38.25000
11850,19261231,STANDARD OIL CO N J,38.75000
11850,19270131,STANDARD OIL CO N J,38.50000
11850,19270228,STANDARD OIL CO N J,39.00000
11850,19270331,STANDARD OIL CO N J,37.00000
11850,19270430,STANDARD OIL CO N J,35.37500
11850,19270531,STANDARD OIL CO N J,37.00000
11850,19270630,STANDARD OIL CO N J,36.25000
11850,19270730,STANDARD OIL CO N J,37.25000
11850,19270831,STANDARD OIL CO N J,38.00000
11850,19270930,STANDARD OIL CO N J,40.12500
11850,19271031,STANDARD OIL CO N J,39.00000
11850,19271130,STANDARD OIL CO N J,39.87500
11850,19271231,STANDARD OIL CO N J,39.75000
11850,19280131,STANDARD OIL CO N J,39.12500
11850,19280229,STANDARD OIL CO N J,38.87500
11850,19280331,STANDARD OIL CO N J,41.12500
11850,19280430,STANDARD OIL CO N J,47.75000
11850,19280531,STANDARD OIL CO N J,45.12500
11850,19280630,STANDARD OIL CO N J,43.87500
11850,19280731,STANDARD OIL CO N J,45.00000
11850,19280831,STANDARD OIL CO N J,45.00000
11850,19280929,STANDARD OIL CO N J,45.62500
11850,19281031,STANDARD OIL CO N J,47.00000
11850,19281130,STANDARD OIL CO N J,59.37500
11850,19281231,STANDARD OIL CO N J,55.00000
11850,19290131,STANDARD OIL CO N J,50.25000
11850,19290228,STANDARD OIL CO N J,49.37500
11850,19290328,STANDARD OIL CO N J,58.37500
11850,19290430,STANDARD OIL CO N J,58.87500
11850,19290531,STANDARD OIL CO N J,57.00000
11850,19290629,STANDARD OIL CO N J,57.37500
11850,19290731,STANDARD OIL CO N J,57.87500
11850,19290830,STANDARD OIL CO N J,71.75000
11850,19290930,STANDARD OIL CO N J,73.75000
11850,19291031,STANDARD OIL CO N J,70.25000
11850,19291127,STANDARD OIL CO N J,64.00000
11850,19291231,STANDARD OIL CO N J,66.12500
11850,19300131,STANDARD OIL CO N J,65.25000
11850,19300228,STANDARD OIL CO N J,58.75000
11850,19300331,STANDARD OIL CO N J,74.00000
11850,19300430,STANDARD OIL CO N J,83.50000
11850,19300529,STANDARD OIL CO N J,80.37500
11850,19300630,STANDARD OIL CO N J,65.50000
11850,19300731,STANDARD OIL CO N J,72.00000
11850,19300829,STANDARD OIL CO N J,70.12500
11850,19300930,STANDARD OIL CO N J,57.25000
11850,19301031,STANDARD OIL CO N J,52.75000
11850,19301129,STANDARD OIL CO N J,52.75000
11850,19301231,STANDARD OIL CO N J,47.12500
11850,19310131,STANDARD OIL CO N J,47.50000
11850,19310228,STANDARD OIL CO N J,49.75000
11850,19310331,STANDARD OIL CO N J,41.87500
11850,19310430,STANDARD OIL CO N J,37.37500
11850,19310529,STANDARD OIL CO N J,33.00000
11850,19310630,STANDARD OIL CO N J,38.75000
11850,19310731,STANDARD OIL CO N J,37.25000
11850,19310831,STANDARD OIL CO N J,40.50000
11850,19310930,STANDARD OIL CO N J,29.62500
11850,19311031,STANDARD OIL CO N J,34.50000
11850,19311130,STANDARD OIL CO N J,32.25000
11850,19311231,STANDARD OIL CO N J,27.87500
11850,19320130,STANDARD OIL CO N J,25.50000
11850,19320229,STANDARD OIL CO N J,28.25000
11850,19320331,STANDARD OIL CO N J,28.37500
11850,19320430,STANDARD OIL CO N J,22.62500
11850,19320531,STANDARD OIL CO N J,22.25000
11850,19320630,STANDARD OIL CO N J,23.50000
11850,19320730,STANDARD OIL CO N J,30.25000
11850,19320831,STANDARD OIL CO N J,34.75000
11850,19320930,STANDARD OIL CO N J,31.12500
11850,19321031,STANDARD OIL CO N J,30.12500
11850,19321130,STANDARD OIL CO N J,29.62500
11850,19321231,STANDARD OIL CO N J,30.25000
11850,19330131,STANDARD OIL CO N J,29.50000
11850,19330228,STANDARD OIL CO N J,23.50000
11850,19330331,STANDARD OIL CO N J,25.37500
11850,19330429,STANDARD OIL CO N J,34.75000
11850,19330531,STANDARD OIL CO N J,36.00000
11850,19330630,STANDARD OIL CO N J,37.50000
11850,19330731,STANDARD OIL CO N J,34.25000
11850,19330831,STANDARD OIL CO N J,40.25000
11850,19330930,STANDARD OIL CO N J,39.75000
11850,19331031,STANDARD OIL CO N J,40.37500
11850,19331129,STANDARD OIL CO N J,45.12500
11850,19331230,STANDARD OIL CO N J,45.75000
11850,19340131,STANDARD OIL CO N J,47.12500
11850,19340228,STANDARD OIL CO N J,46.50000
11850,19340331,STANDARD OIL CO N J,45.50000
11850,19340430,STANDARD OIL CO N J,44.62500
11850,19340531,STANDARD OIL CO N J,42.87500
11850,19340630,STANDARD OIL CO N J,43.87500
11850,19340731,STANDARD OIL CO N J,41.62500
11850,19340831,STANDARD OIL CO N J,44.25000
11850,19340929,STANDARD OIL CO N J,43.50000
11850,19341031,STANDARD OIL CO N J,40.37500
11850,19341130,STANDARD OIL CO N J,42.87500
11850,19341231,STANDARD OIL CO N J,43.25000
11850,19350131,STANDARD OIL CO N J,41.37500
11850,19350228,STANDARD OIL CO N J,38.00000
11850,19350330,STANDARD OIL CO N J,37.00000
11850,19350430,STANDARD OIL CO N J,43.00000
11850,19350531,STANDARD OIL CO N J,45.75000
11850,19350629,STANDARD OIL CO N J,46.62500
11850,19350731,STANDARD OIL CO N J,47.00000
